id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
2139997,1285555,دن کیشوت,9647468539,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562035179l/2139997._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562035179l/2139997._SX50_.jpg,,,,per,جامی,false,121842,2931,522585,768690,198375,7547,5:68358|4:63029|3:46462|2:14872|1:5654|total:198375,1615,,,3.87,383,31,"['4037220', '1469249']","['Miguel de Cervantes Saavedra', 'محمد قاضی']","['3.87', '3.85']",[],[],[],"Don Quixote has become so entranced by reading chivalric romances, that he determines to become a knight-errant himself. In the company of his faithful squire, Sancho Panza, his exploits blossom in all sorts of wonderful ways. While Quixote's fancy often leads him astray – he tilts at windmills, imagining them to be giants – Sancho acquires cunning and a certain sagacity. Sane madman and wise fool, they roam the world together, and together they have haunted readers' imaginations for nearly four hundred years.<br /><br />With its experimental form and literary playfulness, <i>Don Quixote</i> generally has been recognized as the first modern novel. The book has had enormous influence on a host of writers, from Fielding and Sterne to Flaubert, Dickens, Melville, and Faulkner, who reread it once a year, ""just as some people read the Bible."""
8075359,1285555,(دن کیشوت (دورۀ دوجلدی,9647468520,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1271891798l/8075359._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1271891798l/8075359._SX50_.jpg,2008,,,per,انتشاراتِ جامی؛ انتشاراتِ دوستان,false,121842,2931,522585,768690,198375,7547,5:68358|4:63029|3:46462|2:14872|1:5654|total:198375,1615,,,3.87,34,7,['4037220'],['Miguel de Cervantes Saavedra'],['3.87'],['1469249'],['محمد قاضی'],['3.85'],"Capolavoro della letteratura mondiale, <i>Don Chisciotte</i> inaugura la grande stagione del romanzo moderno. Scritto con l'intento di parodiare i libri di cavalleria, narra le gesta di un nobile hidalgo spagnolo, idealista e folle, e del suo fido scudiero Sancho Panza, dal tenace e realistico buon senso. Sul filo di vicende grottesche e sconclusionate, su cui domina l'animo visionario del protagonista, i due vanno verso ""un destino di sconfitta e di smentita"". Ma dietro una realtà disincantata e triste, permane nel romanzo un sorriso di saggezza, che guarda a tutte le illusioni con animo sereno, senza ripudiarne alcuna, perché tutte sono proprie dell'uomo."
40515815,1285555,دن کیشوت,,9789643637477,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528794483l/40515815._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528794483l/40515815._SY75_.jpg,1393,,,per,هرمس,false,121842,2931,522585,768690,198375,7547,5:68358|4:63029|3:46462|2:14872|1:5654|total:198375,1615,,,3.87,33,4,"['4037220', '10427', '2881660']","['Miguel de Cervantes Saavedra', 'James Baldwin', 'حشمت کامرانی']","['3.87', '4.26', '3.56']",[],[],[],اقتباسی از رمان معروف سروانتس
28113208,1285555,دن کیشوت,,9786009104475,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511356518l/28113208._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511356518l/28113208._SY75_.jpg,2010,,,per,کتاب وستا,false,121842,2931,522585,768690,198375,7547,5:68358|4:63029|3:46462|2:14872|1:5654|total:198375,1615,,,3.87,20,2,['4037220'],['Miguel de Cervantes Saavedra'],['3.87'],['804355'],['ذبیح\u200cالله منصوری'],['3.81'],"Don Quixote has become so entranced by reading chivalric romances, that he determines to become a knight-errant himself. In the company of his faithful squire, Sancho Panza, his exploits blossom in all sorts of wonderful ways. While Quixote's fancy often leads him astray – he tilts at windmills, imagining them to be giants – Sancho acquires cunning and a certain sagacity. Sane madman and wise fool, they roam the world together, and together they have haunted readers' imaginations for nearly four hundred years.<br /><br />With its experimental form and literary playfulness, <i>Don Quixote</i> generally has been recognized as the first modern novel. The book has had enormous influence on a host of writers, from Fielding and Sterne to Flaubert, Dickens, Melville, and Faulkner, who reread it once a year, ""just as some people read the Bible."""
18165163,1285555,دُن کیشوت,,9789647230964,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528016740l/18165163._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528016740l/18165163._SY75_.jpg,2001,,,per,ثالث,false,121842,2931,522585,768690,198375,7547,5:68358|4:63029|3:46462|2:14872|1:5654|total:198375,1615,,,3.87,7,0,['4037220'],['Miguel de Cervantes Saavedra'],['3.87'],['1469249'],['محمد قاضی'],['3.85'],دن کیشوت زندگی فردی را به مخاطب نشان می‌دهد که دچار توهم است و وقت خود را با خواندن آثار ممنوعه می‌گذراند. دن کیشوت یکی از نخستین رمان‌هایی است که به زبان‌های نوین اروپایی نوشته شده و سروانتس بخش بیشتر آن را در زندان نوشته‌است. در زمان روایت دن کیشوت نوشتن و خواندن آثاری که به شوالیه می‌پرداخت ممنوع بود و شخصیت اصلی داستان خود را جای یکی از همین شوالیه‌ها می‌بیند و دشمنانی فرضی در برابر خود می‌بیند که اغلب کوه‌ها و درخت‌ها هستند. دن کیشوت پهلوانی خیالی و بی‌دست‌وپاست که خود را شکست‌ناپذیر می‌پندارد
431783,1285555,کوری,964405069X,9789644050695,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388278073l/431783._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388278073l/431783._SY75_.jpg,1999,,,per,نشر علم,false,3213039,287,370382,767057,186044,15167,5:79559|4:65908|3:28217|2:8619|1:3741|total:186044,1995,,,4.12,6373,453,['1285555'],['José Saramago'],['4.02'],['752060'],['مینو مشیری'],['4.01'],"<b>From Nobel Prize–winning author José Saramago, a magnificent, mesmerizing parable of loss</b><br /><br />A city is hit by an epidemic of ""white blindness"" that spares no one. Authorities confine the blind to an empty mental hospital, but there the criminal element holds everyone captive, stealing food rations and assaulting women. There is one eyewitness to this nightmare who guides her charges—among them a boy with no mother, a girl with dark glasses, a dog of tears—through the barren streets, and their procession becomes as uncanny as the surroundings are harrowing. As <i>Blindness</i> reclaims the age-old story of a plague, it evokes the vivid and trembling horrors of the twentieth century, leaving readers with a powerful vision of the human spirit that's bound both by weakness and exhilarating strength."
6944730,1285555,کوری,,9789643054748,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,,,per,نشر مرکز,false,3213039,287,370382,767057,186044,15167,5:79559|4:65908|3:28217|2:8619|1:3741|total:186044,1995,,,4.12,1285,95,['1285555'],['José Saramago'],['4.02'],['18128397'],['مهدی غبرایی'],['3.91'],کوری یک‌حکایت اخلاقی مدرن است، و مانند داستانهای اخلاقی کهن پیام یا پیامهایی‌اخلاقی را، امّا برای مخاطبی‌امروزی، درخود نهفته‌دارد. به‌همین‌دلیل است‌که باز مانند آن‌داستانها، قهرمانهایش نه به‌نام بلکه با یک‌صفّت یاد می‌شوند، و درآغاز کتاب نیز با نقل‌قول از اثری‌ناموجود به‌نام کتاب موعظه‌ها، به‌ما یادآوری می‌شود که این‌رمان یک‌موعظه است: موعظه‌ی رعایت‌کردن و مراعات. دنیای سراسر سفیدی پلید و وحشتباری که کورشدگان داستان در آن به‌سر می‌برند خاویه‌ی بی‌نظمی و آشفتگی است‌که نظم روابط انسانی برآن حاکم نیست و در آن مهمترین‌چیزی‌که انسانها نمی‌بینند حقوق یکدیگر است. ساراماگو چهره‌ی مسیحایی نجاتبخشی را جستجو می‌کند که دوباره درس محبّت را به آدمها بیاموزد.
20318578,1285555,كوری,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388021788l/20318578._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388021788l/20318578._SX50_.jpg,2007,,,per,علم,false,3213039,287,370382,767057,186044,15167,5:79559|4:65908|3:28217|2:8619|1:3741|total:186044,1995,,,4.12,344,28,"['1285555', '752060']","['José Saramago', 'مینو مشیری']","['4.02', '4.01']",[],[],[],"<b>From Nobel Prize–winning author José Saramago, a magnificent, mesmerizing parable of loss</b><br /><br />A city is hit by an epidemic of ""white blindness"" that spares no one. Authorities confine the blind to an empty mental hospital, but there the criminal element holds everyone captive, stealing food rations and assaulting women. There is one eyewitness to this nightmare who guides her charges—among them a boy with no mother, a girl with dark glasses, a dog of tears—through the barren streets, and their procession becomes as uncanny as the surroundings are harrowing. As <i>Blindness</i> reclaims the age-old story of a plague, it evokes the vivid and trembling horrors of the twentieth century, leaving readers with a powerful vision of the human spirit that's bound both by weakness and exhilarating strength."
7027657,1285555,کوری,,9789646026704,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,per,مروارید,false,3213039,287,370382,767057,186044,15167,5:79559|4:65908|3:28217|2:8619|1:3741|total:186044,1995,,,4.12,239,26,['1285555'],['José Saramago'],['4.02'],['5786154'],['اسدالله امرایی'],['3.42'],"<b>From Nobel Prize–winning author José Saramago, a magnificent, mesmerizing parable of loss</b><br /><br />A city is hit by an epidemic of ""white blindness"" that spares no one. Authorities confine the blind to an empty mental hospital, but there the criminal element holds everyone captive, stealing food rations and assaulting women. There is one eyewitness to this nightmare who guides her charges—among them a boy with no mother, a girl with dark glasses, a dog of tears—through the barren streets, and their procession becomes as uncanny as the surroundings are harrowing. As <i>Blindness</i> reclaims the age-old story of a plague, it evokes the vivid and trembling horrors of the twentieth century, leaving readers with a powerful vision of the human spirit that's bound both by weakness and exhilarating strength."
36367487,1285555,کوری,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507360130l/36367487._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507360130l/36367487._SY75_.jpg,2017,,,per,نشر لیدا,false,3213039,287,370382,767057,186044,15167,5:79559|4:65908|3:28217|2:8619|1:3741|total:186044,1995,,,4.12,90,9,['1285555'],['José Saramago'],['4.02'],['17624016'],['مجتبی نظربیگی'],['4.29'],"<b>From Nobel Prize–winning author José Saramago, a magnificent, mesmerizing parable of loss</b><br /><br />A city is hit by an epidemic of ""white blindness"" that spares no one. Authorities confine the blind to an empty mental hospital, but there the criminal element holds everyone captive, stealing food rations and assaulting women. There is one eyewitness to this nightmare who guides her charges—among them a boy with no mother, a girl with dark glasses, a dog of tears—through the barren streets, and their procession becomes as uncanny as the surroundings are harrowing. As <i>Blindness</i> reclaims the age-old story of a plague, it evokes the vivid and trembling horrors of the twentieth century, leaving readers with a powerful vision of the human spirit that's bound both by weakness and exhilarating strength."
