id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
8285672,3535,خشم و هیاهو,,9789644480621,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506447740l/8285672._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506447740l/8285672._SX50_.jpg,2002,,,per,نیلوفر,false,1168289,648,345856,598623,155235,6838,5:56735|4:47645|3:30399|2:12715|1:7741|total:155235,1929,,,3.86,646,71,['3535'],['William Faulkner'],['3.85'],['1025322'],['صالح حسینی'],['4.00'],در این رمان، ماجرای سی سال از زندگی خانوادهٔ «کامپسون» که در جنوب زندگی می‌کنند بیان شده است. فاکنر در این رمان، فساد جامعهٔ پهناور در سرزمین‌های جنوب را وصف کرده است. «بنجی» یکی از پسران خانوادهٔ کامپسون، حالاتی غیرعادی دارد و منظورش را با فریادهای دلخراش بیان می‌کند «کواتین»، پسر بزرگ‌تر خانواده به گونهٔ ناخوش‌آیندی مجذوب خواهرش «کاری» است و این دختر خودرای و هوسران دلداده‌ای نیز دارد. کوانتین برای ادامهٔ تحصیل به هاروارد می‌رود. او که فکری تیره و روحی غمگین دارد چندی بعد خودکشی می‌کند. در این هنگام خانواده، کادی را که باردار شده شوهرش می‌دهند. یک سال بعد، شوهر کادی او را از خود می‌راند و کادی نیز دخترش را که مانند دایی‌اش «کوانتین» نام دارد. تنها و بی‌سرپرست رها می‌کند. «جیسون» پسر دوم خانواده که جوانی حریص، متقلب و وقیح است، بعد از مرگ پدر و مادر، سرپرست خانواده می‌شود و چون کینهٔ خواهرش کادی را در دل دارد، دخترش کوانتین را آزار می‌دهد و…. .
1497579,3535,خشم و هیاهو,9644480627,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1990,,,per,,false,1168289,648,345856,598623,155235,6838,5:56735|4:47645|3:30399|2:12715|1:7741|total:155235,1929,,,3.86,241,19,"['3535', '5615767']","['William Faulkner', 'Houshang Golshiri']","['3.85', '3.73']",['1025322'],['صالح حسینی'],['4.00'],ویرایش یکم: هوشنگ گلشیری<br />ویرایش دوم: صالح حسینی
8099846,3535,خشم و هیاهو,,9789643512309,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506476542l/8099846._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506476542l/8099846._SX50_.jpg,2008,,,per,نگاه,false,1168289,648,345856,598623,155235,6838,5:56735|4:47645|3:30399|2:12715|1:7741|total:155235,1929,,,3.86,74,21,['3535'],['William Faulkner'],['3.85'],['1356404'],['بهمن شعله\u200cور'],['3.83'],داستان در سال ۱۸۹۵ و با مرگ مادربزرگ خانواده‌ی کامپسون آغاز می‌شود. در خانه مراسم تدفین در حال برگزاری است. خانم و آقای کامپسون برای آن که چهار فرزندشان متوجه مرگ مادربزرگ نشوند، آن‌ها را به خارج از خانه فرستاده‌اند، اما بچه‌ها زیر درخت گلابیِ پشت پنجره‌ی تالار محل برگزاری مراسم جمع شده‌اند. کدی، دختر هفت ساله‌ی خانواده، از درخت گلابی بالا رفته است و هر آن‌چه پشت پنجره می‌بیند را به طور مبهم درک کرده و برای بقیه تعریف می‌کند، داستان این بچه‌ها ادامه می‌یابد....
6037127,3535,خشم و هياهو,9643512304,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506476419l/6037127._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506476419l/6037127._SX50_.jpg,2005,1,31,per,نگاه,false,1168289,648,345856,598623,155235,6838,5:56735|4:47645|3:30399|2:12715|1:7741|total:155235,1929,,,3.86,48,3,['3535'],['William Faulkner'],['3.85'],['1356404'],['بهمن شعله\u200cور'],['3.83'],"در این رمان، نوشته ""ویلیام فاکنر"" (1896 - 1897) نویسنده آمریکایی، ماجرای سی سال از زندگی خانواده‌ی ""کامپسون"" که در جنوب زندگی می‌کنند بیان شده است. فاکنر در این رمان، فساد جامعه پهناور در سرزمین‌های جنوب را وصف کرده است. ""بنجی"" یکی از پسران خانواده کامپسون، حالاتی غیر عادی دارد و منظورش را با فریادهای دلخراش بیان می‌کند ""کواتین""، پسر بزرگ‌تر خانواده به گونه‌ی ناخوش آیندی مجذوب خواهرش ""کاری"" است و این دختر خود رای و هوسران دلداده‌ای نیز دارد. کوانتین برای ادامه تحصیل به هاروارد می‌رود. او که فکری تیره و روحی غمگین دارد چندی بعد خودکشی می‌کند. در این هنگام خانواده، کادی را که باردار شده شوهرش می‌دهند. یک سال بعد، شوهر کادی او را از خود می‌راند و کادی نیز دخترش را که مانند دایی‌اش ""کوانتین"" نام دارد. تنها و بی‌سرپرست رها می‌کند. ""جیسون"" پسر دوم خانواده که جوانی حریص، متقلب و وقیح است، بعد از مرگ پدر و مادر، سرپرست خانواده می‌شود و چون کینه خواهرش کادی را در دل دارد، دخترش کوانتین را آزار می‌دهد و الخ"
44090679,3535,خشم و هیاهو,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550868993l/44090679._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550868993l/44090679._SX50_.jpg,2015,,,per,علمی و فرهنگی,false,1168289,648,345856,598623,155235,6838,5:56735|4:47645|3:30399|2:12715|1:7741|total:155235,1929,,,3.86,28,3,['3535'],['William Faulkner'],['3.85'],['1356404'],['بهمن شعله\u200cور'],['3.83'],"The Sound and the Fury is the tragedy of the Compson family, featuring some of the most memorable characters in literature: beautiful, rebellious Caddy; the manchild Benjy; haunted, neurotic Quentin; Jason, the brutal cynic; and Dilsey, their black servant. Their lives fragmented and harrowed by history and legacy, the character’s voices and actions mesh to create what is arguably Faulkner’s masterpiece and one of the greatest novels of the twentieth century."
6966794,3535,خشم و هیاهو,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518127077l/6966794._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518127077l/6966794._SY75_.jpg,1974,,,per,پیروز,false,1168289,648,345856,598623,155235,6838,5:56735|4:47645|3:30399|2:12715|1:7741|total:155235,1929,,,3.86,16,1,['3535'],['William Faulkner'],['3.85'],['1356404'],['بهمن شعله\u200cور'],['3.83'],"The Sound and the Fury is the tragedy of the Compson family, featuring some of the most memorable characters in literature: beautiful, rebellious Caddy; the manchild Benjy; haunted, neurotic Quentin; Jason, the brutal cynic; and Dilsey, their black servant. Their lives fragmented and harrowed by history and legacy, the character’s voices and actions mesh to create what is arguably Faulkner’s masterpiece and one of the greatest novels of the twentieth century."
34428063,3535,خشم و هیاهو,,9786001216398,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488282083l/34428063._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488282083l/34428063._SY75_.jpg,2015,,,per,علمی و فرهنگی,false,1168289,648,345856,598623,155235,6838,5:56735|4:47645|3:30399|2:12715|1:7741|total:155235,1929,,,3.86,12,3,['3535'],['William Faulkner'],['3.85'],['1356404'],['بهمن شعله\u200cور'],['3.83'],فاکنر فقط داستان‌سرایی نمی‌کرد، بلکه زندگی را به تصویر می‌کشید و فلسفه‌ای را مطرح می‌کرد. او هم‌چون بافت‌شناس زندگی به کشورش می‌نگریست، آن را جسمی زنده می‌انگاشت و برای آزمایش و تشخیص بیماری، از آن تکه‌برداری می‌کرد. او بدون تعصب، اما با همدردی به حیوانات و گیاهان، به مردان و زنان و کودکان، به سفیدپوستان و سیاه‌پوستان می‌نگریست. با موشکافی در شکل، سفتی و نرمی، طعم، صدا و بوی آنان، جسم و ذهن و درون اسرارآمیزشان، بیم و امید، عشق و نفرت و رنج و جنایت را مطالعه می‌کرد و همه را به گونه‌ای پیچیده و دشوار ـ لیکن شجاعانه و صادقانه ـ روی کاغذ می آورد و در آن‌ها به فلسفه‌ی شکیبایی و تقدیر دست می‌یافت. او ما را ژرف‌اندیش‌تر از پیش بر جای گذاشت.
42787444,3535,خشم و هیاهو,6008755142,9786008755142,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1542226511l/42787444._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1542226511l/42787444._SY75_.jpg,2017,,,per,آسو,false,1168289,648,345856,598623,155235,6838,5:56735|4:47645|3:30399|2:12715|1:7741|total:155235,1929,,,3.86,3,1,"['3535', '17331262']","['William Faulkner', 'محمد ثقفی']","['3.85', '3.33']",[],[],[],"در این رمان، نوشته‌ی ""ویلیام فاکنر"" (۱۸۹۶- ۱۸۹۷) نویسنده‌ی آمریکایی، ماجرای سی سال از زندگی خانواده‌ی ""کامپسون"" که در جنوب زندگی می‌کنند بیان شده است. فاکنر در این رمان، فساد جامعه‌ی پهناور در سرزمین‌های جنوب را وصف کرده است. ""بنجی"" یکی از پسران خانواده‌ی کامپسون، حالاتی غیرعادی دارد و منظورش را با فریادهای دلخراش بیان می‌کند ""کواتین""، پسر بزرگ‌تر خانواده به گونه‌ی ناخوش‌آیندی مجذوب خواهرش ""کاری"" است و این دختر خودرای و هوسران دلداده‌ای نیز دارد. کوانتین برای ادامه‌ی تحصیل به هاروارد می‌رود. او که فکری تیره و روحی غمگین دارد چندی بعد خودکشی می‌کند. در این هنگام خانواده، کادی را که باردار شده شوهرش می‌دهند. یک سال بعد، شوهر کادی او را از خود می‌راند و کادی نیز دخترش را که مانند دایی‌اش ""کوانتین"" نام دارد. تنها و بی‌سرپرست رها می‌کند. ""جیسون"" پسر دوم خانواده که جوانی حریص، متقلب و وقیح است، بعد از مرگ پدر و مادر، سرپرست خانواده می‌شود و چون کینه‌ی خواهرش کادی را در دل دارد، دخترش کوانتین را آزار می‌دهد و ..."
51037796,3535,کتاب صوتی خشم و هیاهو,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,1168289,648,345856,598623,155235,6838,5:56735|4:47645|3:30399|2:12715|1:7741|total:155235,1929,,,3.86,3,2,"['3535', '15818351', '15818350']","['William Faulkner', 'دامون آذری', 'آرمان سلطان زاده']","['3.85', '4.05', '3.90']",['1356404'],['بهمن شعله\u200cور'],['3.83'],"The Sound and the Fury is the tragedy of the Compson family, featuring some of the most memorable characters in literature: beautiful, rebellious Caddy; the manchild Benjy; haunted, neurotic Quentin; Jason, the brutal cynic; and Dilsey, their black servant. Their lives fragmented and harrowed by history and legacy, the character’s voices and actions mesh to create what is arguably Faulkner’s masterpiece and one of the greatest novels of the twentieth century."
43599888,3535,خشم و هیاهو,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547735834l/43599888._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547735834l/43599888._SY75_.jpg,2017,,,per,آسونه,false,1168289,648,345856,598623,155235,6838,5:56735|4:47645|3:30399|2:12715|1:7741|total:155235,1929,,,3.86,0,0,['3535'],['William Faulkner'],['3.85'],[],[],[],"The text of this Norton Critical Edition is that of the corrected edition scrupulously prepared by Noel Polk, whose textual note precedes the text. David Minter's annotations are designed to assist the reader with obscure words and allusions.<br /><br />""Backgrounds"" begins with the appendix Faulkner wrote in 1945 and sometimes referred to as another telling of <i>The Sound and the Fury</i> and includes a selection of Faulkner’s letters, excerpts from two Faulkner interviews, a memoir by Faulkner's friend Ben Wasson, and both versions of Faulkner's 1933 introduction to the novel.<br /><br />""Cultural and Historical Contexts"" presents four different perspectives, two of them new to the second edition, on the place of the American South in history. Taken together, these works—by C. Vann Woodward, Richard H. King, Carolyn Porter, and Robert Penn Warren—provide the reader with valuable contexts for understanding the novel.<br /><br />""Criticism"" includes seventeen essays on <i>The Sound and the Fury</i> that collectively trace changes in the way we have viewed this novel over the last four decades. The critics are Jean-Paul Sartre, Irving Howe, Ralph Ellison, Olga W. Vickery, Cleanth Brooks, Michael Millgate, John T. Irwin, Myra Jehlen, Donald M. Kartiganer, David Minter, Warwick Wadlington, John T. Matthews, Thadious M. Davis, Wesley Morris and Barbara Alverson Morris, Minrose C. Gwin, André Bleikasten, and Philip M. Weinstein. A revised Selected Bibliography also is included."
