author_id,id,work_id,org_id,org_title,org_publisher,original_publication_year,title,isbn,isbn13,publisher,publication_year,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,score_5,score_4,score_3,score_2,score_1,score_5_pct,score_4_pct,score_3_pct,score_2_pct,score_1_pct,average_rating,ratings_count,text_reviews_count,authors_average_rating,translators_ids,translators_names,translators_average_rating,description,org_image_name,image_name
13450,894468,3295655,320,One Hundred Years of Solitude,Harper,1967,صد سال تنهایی,9647196229,9789647196222.0,آریابان,2003,319,1458268,2923239,717561,28691,342530,192682,106453,44606,31290,48,27,15,6,4,4.07,3423,258,['3.97'],['1344211'],کیومرث پارسای,['3.82'],گابریل گارسیا مارکز، در رمان «صد سال تنهایی» به شرح زندگی شش نسل خانواده‌ی «بوئندیا» می‌پردازد که نسل نخستین از آن‌ها در دهکده‌ای به نام «ماکوندو» ساکن می‌شود. داستان از زبان سوم شخص حکایت می‌شود. طی مدت یک قرن تنهایی پنج نسل دیگر از بوئندیاها به وجود می‌آیند و حوادث سرنوشت‌ساز ورود کولی‌ها به دهکده و تبادل کالا با ساکنین آن، رخ دادن جنگ داخلی و ورود خارجی‌ها برای تولید انبوه موز را می‌بینند. شخصیت‌های مهم رمان عبارتند از: «خوزه آرکادیو بوئندیا» که نخستین مردی ست که به سرزمینی وارد شده که بعدها ماکوندو نام می‌گیرد. زن او به نام «اورسولا» که در طی حیات خود اداره کردن خانواده را با تحمیل مقررات خود به بچه‌ها عهده‌دار می‌شود، و تولد چندین نسل را به چشم می‌بیند؛,320.jpg,894468.jpg
13450,2069939,3295655,320,One Hundred Years of Solitude,Harper,1967,صد سال تنهایی,,,امیرکبیر,1974,319,1458268,2923239,717561,28691,342530,192682,106453,44606,31290,48,27,15,6,4,4.07,1058,124,['3.97'],['294913'],بهمن فرزانه,['3.57'],اگر حقیقت داشته باشد كه می گویند رمان مرده است یا در احتضار است پس همگی از جای برخیزیم و به این آخرین رمان سلام بگوییم<br /><br />ناتالیا جینزبورگ,320.jpg,2069939.jpg
13450,2470431,3295655,320,One Hundred Years of Solitude,Harper,1967,صد سال تنهایی,9645564937,,شیرین,2003,319,1458268,2923239,717561,28691,342530,192682,106453,44606,31290,48,27,15,6,4,4.07,796,34,['3.97'],['2006884'],محمدرضا راه ور,['3.94'],"(Book Jacket Status: Jacketed)The brilliant, bestselling, landmark novel that tells the story of the Buendia family, and chronicles the irreconcilable conflict between the desire for solitude and the need for love—in rich, imaginative prose that has come to define an entire genre known as ""magical realism.""",320.jpg,2470431.png
13450,36495355,3295655,320,One Hundred Years of Solitude,Harper,1967,صدسال تنهایی,,,گوینده,2006,319,1458268,2923239,717561,28691,342530,192682,106453,44606,31290,48,27,15,6,4,4.07,218,28,['3.97'],[],,[],"(Book Jacket Status: Jacketed)The brilliant, bestselling, landmark novel that tells the story of the Buendia family, and chronicles the irreconcilable conflict between the desire for solitude and the need for love—in rich, imaginative prose that has come to define an entire genre known as ""magical realism.""",320.jpg,36495355.jpg
13450,23389113,3295655,320,One Hundred Years of Solitude,Harper,1967,صد سال تنهایی,,9789640013830.0,امیرکبیر,2011,319,1458268,2923239,717561,28691,342530,192682,106453,44606,31290,48,27,15,6,4,4.07,193,24,['3.97'],['294913'],بهمن فرزانه,['3.57'],رمان صد سال تنهایی در ۱۹۷۲ جایزه نوبل ادبیات را برای مارکز به ارمغان آورد. این کتاب به سبک رئالیسم جادویی نگارش یافته است. <br />گابریل گارسیا مارکز در رمان صد سال تنهایی به شرح زندگی شش نسل از خانواده بوئندیا می پردازد که نسل اول آن‌ها در دهکده ای به نام ماکوندو ساکن می شود. داستان از زبان سوم شخص حکایت می‌شود. طی مدت یک قرن تنهایی پنج نسل دیگر از بوئندیاها به وجود می‌آیند و حوادث سرنوشت‌ساز ورود کولی‌ها به دهکده و تبادل کالا با ساکنان آن، رخ دادن جنگ داخلی و ورود خارجی‌ها برای تولید انبوه موز را می‌بینند. <br />یکی از کلیدی‌ترین شخصیت‌های این رمان اورسولا ایگوآران همسر خوزه آرکادیو بوئندیاست که مادر نخستین نسل خانوادة بوئندیاها می‌باشد. اورسولا زنی است که بار سنگین محنت و رنج این تنهایی تاریخی و عظیم را بر شانه‌های مردانه خویش می‌کشد.,320.jpg,23389113.jpg
13450,33303205,3295655,320,One Hundred Years of Solitude,Harper,1967,صد سال تنهایی,,,تکراری کتاب پارسه,2016,319,1458268,2923239,717561,28691,342530,192682,106453,44606,31290,48,27,15,6,4,4.07,62,9,['3.97'],['3494638'],بیتا حکمی,['3.99'],"<i>This is an alternate cover edition for <a href=""https://www.goodreads.com/book/show/8069749?ac=1&amp;from_search=true"" rel=""nofollow"">9789649084961</a> </i><br /><br />جمله‌ای از کتاب:؛<br />؛«گذشته دروغی بیش نیست و خاطره بازگشتی ندارد و هر بهاری که می‌گذرد؛ دیگر برنمی‌گردد و حتی شدیدترین و دیوانه‌کننده‌ترین عشق‌ها نیز حقیقتی ناپایدارند.»؛<br /> چاپ نخست این رمان در سال ۱۹۶۷ در آرژانتین با تیراژ ۸۰۰۰ نسخه منتشر شد. این کتاب در مدتی کوتاه شهرتی جهانی پیدا کرد و به ۲۷ زبان دنیا ترجمه شد؛<br /><b>صد سال تنهایی</b> حاصل ۱۵ ماه تلاش و کار ""گابریل گارسیا مارکز"" است که به گفته‌ی خود در تمام این ۱۵ ماه خود را در خانه حبس کرده بوده است؛<br />در این رمان به شرح زندگی شش نسل خانواده‌ی بوئندیا پرداخته شده است که نسل اول آن‌ها در دهکده‌ای به نام ماکوندو ساکن می‌شود. داستان از زبان سوم شخص حکایت می‌شود. سبک این رمان رئالیسم جادویی است. مارکز با نوشتن از کولی‌ها از همان ابتدای رمان به شرح کارهای جادویی آن‌ها می‌پردازد و شگفتی‌های مربوط به حضور آن‌ها در دهکده را در خلال داستان کش و قوس می‌دهد تا حوادثی که به واقعیت زندگی در کلمبیا شباهت دارند با جادوهایی که در این داستان رخ می‌دهند ادغام شده و سبک رئالیسم جادویی به وجود آید؛",320.jpg,33303205.jpg
13450,8069749,3295655,320,One Hundred Years of Solitude,Harper,1967,صد سال تنهایی,,9789649084961.0,کتاب پارسه,2007,319,1458268,2923239,717561,28691,342530,192682,106453,44606,31290,48,27,15,6,4,4.07,57,8,['3.97'],['3494638'],بیتا حکمی,['3.99'],"(Book Jacket Status: Jacketed)The brilliant, bestselling, landmark novel that tells the story of the Buendia family, and chronicles the irreconcilable conflict between the desire for solitude and the need for love—in rich, imaginative prose that has come to define an entire genre known as ""magical realism.""",320.jpg,8069749.jpg
13450,30643700,3295655,320,One Hundred Years of Solitude,Harper,1967,صد سال تنهایی,,9789642953370.0,کتاب‌سرای نیک,,319,1458268,2923239,717561,28691,342530,192682,106453,44606,31290,48,27,15,6,4,4.07,43,6,"['3.97', '3.73']",[],,[],رمان «صد سال تنهایی» بی‌تردید یکی از شاهکارهای جاویدان ادبیات آمریکای لاتین است که در روستای خیالی «ماکوندو» می‌گذرد. به گفته‌ی ماریو بارگاس یوسا: «ظهور ماکوندو، آفریده تخیل بارور گابریل گارسیا مارکز، موجب «زمین لرزه‌ای ادبی» در آمریکای لاتین شد.» دنیای خیالی ماکوندو مکانی است که در رویدادهای شگفت‌آور، تراژدی محض و مسخرگی افسار گسیخته، بسان واقعیت‌های مطلق، کنار هم جای می‌گیرند و راوی با لحنی قاطع و کاملاً قانع کننده بازگویشان می‌کند.,320.jpg,30643700.jpg
13450,35005856,3295655,320,One Hundred Years of Solitude,Harper,1967,صد سال تنهایی,,,نوار,2017,319,1458268,2923239,717561,28691,342530,192682,106453,44606,31290,48,27,15,6,4,4.07,5,2,"['3.97', '3.61']",[],,[],"One of the 20th century's enduring works, <i>One Hundred Years of Solitude</i> is a widely beloved and acclaimed novel known throughout the world, and the ultimate achievement of a Nobel Prize winning career.<br /><br />The novel tells the story of the rise and fall of the mythical town of Macondo through the history of the family. It is a rich and brilliant chronicle of life and death, and the tragicomedy of humankind. In the noble, ridiculous, beautiful, and tawdry story of the family, one sees all of humanity, just as in the history, myths, growth, and decay of Macondo, one sees all of Latin America.<br /><br />Love and lust, war and revolution, riches and poverty, youth and senility -- the variety of life, the endlessness of death, the search for peace and truth -- these universal themes dominate the novel. Whether he is describing an affair of passion or the voracity of capitalism and the corruption of government, Gabriel Garcia Marquez always writes with the simplicity, ease, and purity that are the mark of a master.<br /><br />Alternately reverential and comical, <i>One Hundred Years of Solitude</i> weaves the political, personal, and spiritual to bring a new consciousness to storytelling. Translated into dozens of languages, this stunning work is no less than an accounting of the history of the human race.",320.jpg,35005856.jpg
13450,50359042,3295655,320,One Hundred Years of Solitude,Harper,1967,کتاب صوتی صد سال تنهایی,,,آوانامه,2019,319,1458268,2923239,717561,28691,342530,192682,106453,44606,31290,48,27,15,6,4,4.07,1,1,"['3.97', '4.06', '4.31']",['18358644'],محمدرضا سحابی,['4.50'],"(Book Jacket Status: Jacketed)The brilliant, bestselling, landmark novel that tells the story of the Buendia family, and chronicles the irreconcilable conflict between the desire for solitude and the need for love—in rich, imaginative prose that has come to define an entire genre known as ""magical realism.""",320.jpg,50359042.jpg
