id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
45858530,7617,Il ritratto di Dorian Gray,8804671483,9788804671480,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,ita,,false,1858012,1626,1652063,3708968,909450,28162,5:358605|4:330257|3:167265|2:39797|1:13526|total:909450,1891,,,4.08,16,1,"['3565', '1647069', '7617']","['Oscar Wilde', ""Masolino d'Amico"", 'André Gide']","['4.10', '3.85', '3.69']",['4684274'],['Raffaele Calzini'],['4.15'],"Il bellissimo Dorian riesce a conservare intatte gioventù e avvenenza, nonostante le dissolutezze cui si abbandona: è infatti un suo ritratto, tenuto nascosto, a invecchiare al suo posto. Manifesto del decadentismo inglese accolto dalla critica vittoriana con scandalo e furiose polemiche, e compendio della ""filosofia"" wildiana nella sua negazione di ogni credo al di fuori del piacere, ""Il ritratto di Dorian Gray"" (1890) afferma la supremazia dell'artista sulle leggi morali e sulle convenzioni sociali. Idee che Wilde praticò e pagò in prima persona, volendo ""vivere la propria vita come un'opera d'arte"" e difendere i valori dell'arte, della cultura, dell'uomo. Introduzione di Masolino D'Amico e postfazione di André Gide."
48657070,7617,Hamlet,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572606726l/48657070._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572606726l/48657070._SY75_.jpg,1945,,,mul,Pantheon Books,false,1885548,4652,1088333,2815458,700282,12153,5:271501|4:235420|3:142324|2:38264|1:12773|total:700282,1603,,,4.02,0,0,['947'],['William Shakespeare'],['3.87'],['7617'],['André Gide'],['3.69'],
49551146,7617,Œuvres complètes I,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,3000541,1491,96692,228627,50824,880,5:32945|4:12019|3:4611|2:744|1:505|total:50824,1623,,,4.50,1,0,"['947', '7617']","['William Shakespeare', 'André Gide']","['3.87', '3.69']",[],[],[],Tempest	<br />Two Gentlemen of Verona	<br />Merry Wives of Windsor	<br />Measure for Measure	<br />Comedy of Errors	<br />Much Ado About Nothing	<br />Love's Labour's Lost	<br />Midsummer Night's Dream	<br />Merchant of Venice	<br />As You Like It	<br />Taming of the Shrew	<br />All's Well That Ends Well	<br />Twelfth Night	<br />Winter's Tale	<br />King John	<br />King Richard II	<br />King Henry IV. Part 1	<br />King Henry IV. Part 2	<br />King Henry V	<br />King Henry VI. Part 1	<br />King Henry VI. Part 2	<br />King Henry VI. Part 3	<br />King Richard III	<br />King Henry VIII	<br />Troilus and Cressida	<br />Coriolanus	<br />Titus Andronicus	<br />Romeo and Juliet	<br />Timon of Athens	<br />Julius Caesar	<br />Macbeth	<br />Hamlet	<br />King Lear	<br />Othello	<br />Anthony and Cleopatra	<br />Cymbeline	<br />Pericles	<br />Venus and Adonis	<br />Rape of Lucrece	<br />Sonnets	<br />Lover's Complaint	<br />Passionate Pilgrim	<br />Sonnets to Sundry Notes of Music	<br />Phoenix and the Turtle
4590793,7617,Le notti bianche,8804516046,9788804516040,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338594075l/4590793._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338594075l/4590793._SY75_.jpg,2003,3,10,ita,Mondadori,false,4111509,454,83344,173363,43077,3388,5:15271|4:16473|3:8909|2:1965|1:459|total:43077,1848,,,4.02,1287,88,"['3137322', '4224648', '7617']","['Fyodor Dostoyevsky', 'Giovanna Spendel', 'André Gide']","['4.18', '4.01', '3.69']",[],[],[],"Il tema del «sognatore romantico», dell'eroe solitario che – come l'«anima bella» schilleriana che vive nel regno dell'ideale e dell'utopia estetica più astratta – trascorre i suoi giorni immerso nella dimensione del sogno, in un paradiso di illusioni, malinconicamente sofferente e lontano dall'incolore e consueta realtà dell'esistenza quotidiana, percorre come un filo di Arianna questo racconto. In una notte bianca, crudelmente reale, passeggiando solitario l'eroe del racconto incontra sul lungofiume una ragazza che risveglia in lui il sentimento dell'amore – il simbolo della temuta vita reale –, e coraggiosamente egli decide di fuggire dal regno dei sogni e delle fantasticherie in cui trascorre i suoi giorni, aprendosi alla vita. Ma quando la ragazza gli rivela di amare un altro, la sua speranza svanisce, annullata dalla crudele vendetta del destino, ricacciata nella dimensione del sogno, a un tempo capace di dare felicità e sofferenza. Un regno delle illusioni che è anche metaforicamente simbolo del male.<br /><br />Con un saggio di André Gide. Introduzione di Giovanna Spendel."
25000792,7617,La Faim,2130374026,9782130374022,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547372259l/25000792._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547372259l/25000792._SX50_.jpg,1981,,,fre,PUF,false,3135610,427,91021,164604,40642,2855,5:15616|4:15049|3:7151|2:2049|1:777|total:40642,1890,,,4.05,2,0,"['18317', '5069412', '7617', '114756']","['Knut Hamsun', 'Georges Sautreau', 'André Gide', 'Octave Mirbeau']","['4.00', '3.84', '3.69', '3.74']",[],[],[],"One of the most important and controversial writers of the 20th century, Knut Hamsun made literary history with the publication in 1890 of this powerful, autobiographical novel recounting the abject poverty, hunger and despair of a young writer struggling to achieve self-discovery and its ultimate artistic expression. The book probes the psychodynamics of alienation and obsession, painting an unforgettable portrait of a man driven by forces beyond his control to the edge of self-destruction. Hamsun influenced many of the major 20th-century writers who followed him, including Kafka, Joyce and Henry Miller."
43905091,7617,Il sosia,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,ita,Mondadori,true,236056,486,37508,61419,16595,1137,5:3553|4:6405|3:5026|2:1345|1:266|total:16595,1846,,,3.70,12,1,"['3137322', '17036065', '7617']","['Fyodor Dostoyevsky', 'Fëdor Dostoevskij', 'André Gide']","['4.18', '4.22', '3.69']",['4498216'],['Alfredo Polledro'],['4.27'],"«Nella gigantesca macchina gerarchica fatta di ben quattordici ranghi che rovesciava da ogni angolo dell'Impero di Pietroburgo valanghe di carta e fiumi di inchiostro, il singolo burocrate (grande, medio, piccolo) non era in grado di percepire il senso del proprio lavoro; egli era un ingranaggio del sistema, e il sistema non consentiva vie d'uscita.» In tale contesto, come sottolinea Giovanna Spendel nella sua Introduzione a <i>Il sosia</i>, nascono gli stati d'animo, generati dal proprio fallimento nelle aspirazioni di ascesa sociale, di Jakov Petrovic Goljadkin, piccolo buracrate, protagonista del romanzo. I suoi meccanismi mentali, che lo inducono a scindere la propria personalità in due entità diverse, un ""io"" e un ""tu"", gli rendono possibile un paradossale dialogo con il suo ""doppio"" sempre più prevaricatore e infido nei suoi confronti. È così possibile seguire le allucinazioni dell'""eroe"" Goljadkin in un crescendo di situazioni contraddittorie e tragicomiche che Dostoevskij filtra attraverso la propria vena grottesca."
21938644,7617,Prometeo: Variazioni sul mito,8831710222,9788831710220,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401110034l/21938644._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401110034l/21938644._SY75_.jpg,2011,12,,ita,Marsilio,false,1156090,306,21852,44171,11187,541,5:3681|4:4060|3:2752|2:576|1:118|total:11187,-480,,,3.95,5,0,"['990', '285217', '45882', '7617', '76241', '8152794']","['Aeschylus', 'Johann Wolfgang von Goethe', 'Percy Bysshe Shelley', 'André Gide', 'Cesare Pavese', 'Federico Condello']","['3.97', '3.80', '4.01', '3.69', '3.83', '4.00']",[],[],[],"Il <i>Prometeo incatenato</i> di Eschilo è forse la tragedia che ha conosciuto più larga, più durevole fortuna nella storia della cultura europea: in essa l'eroe che ha donato agli uomini il fuoco rubato agli dei, e con esso l'intelligenza e la pratica del vivere civile, è rappresentato nell'atroce immobilità della punizione che Zeus gli ha inflitto e nella sua irriducibile opposizione all'ordine che gli è stato imposto. Di Prometeo, Goethe illumina il conflitto con il potere dispotico di Dio, l'orgoglio e la solitudine creativa e riottosa della sfida. Shelley approfondisce il conflitto, lo esaspera fino a concluderlo con la detronizzazione di Zeus, che sola potrà restituire a Prometeo la libertà. Gide, in una audace ""variazione"", insiste sulla liberazione dalle regole, e innesta nel suo Prometeo, che «ama ciò che lo divora», le suggestioni della psicanalisi. Pavese, infine, nella riscrittura forse più intensa e tagliente del mito, ricorda a Eracle che tutti gli uomini hanno una rupe, e che «i mostri non muoiono. Quello che muore è la paura che t'incutono». Mito cruciale nella riflessione sul rapporto tra divino e umano, Prometeo è figura della generosità e della ribellione, dell'infrazione dell'ordine divino e della fatale commistione fra umanità e divinità. Ma, anche, un esempio straordinario della vitalità dei testi classici, della durevolezza e della molteplicità delle possibili variazioni sul mito."
41251933,7617,De Profundis,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,ita,Mondadori,true,21904715,1411,22472,44151,10539,889,5:4795|4:3538|3:1708|2:402|1:96|total:10539,1905,2,,4.19,1,1,"['3565', '1647069', '7617']","['Oscar Wilde', ""Masolino d'Amico"", 'André Gide']","['4.10', '3.85', '3.69']",['6573436'],['Oreste del Buono'],['3.93'],"Detenuto per sodomia, Wilde scrisse nel 1897 questo manoscritto in forma di lettera, frutto della tragica lotta che un artista ribelle ingaggia contro le ipocrisie della societ&amp;agrave, al suo giovane amante Bosie. Wilde appare in queste pagine un uomo affascinante e contraddittorio, ormai fiaccato nell'animo, sofferente come un autentico artista romantico, un Cristo perseguitato dai filistei. Si alternano in queste pagine seriet&amp;agrave morale e teatrale civetteria, rivendicazioni di grandezza a cupi umori penitenziali."
7848051,7617,L'offrande Lyrique,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1925,8,10,fre,Librairie GALLIMARD N R F,false,2066877,432,25682,36515,8448,551,5:4640|4:2420|3:1005|2:237|1:146|total:8448,1910,,,4.32,3,0,"['36913', '7617']","['Rabindranath Tagore', 'André Gide']","['4.13', '3.69']",[],[],[],"Nobel laureate Rabindranath Tagore was one of the most important writers in 20th-century Indian literature. Among his expansive and impressive body of work, ""Gitanjali"" is regarded as one of his greatest achievements, and has been a perennial bestseller since it was first published in 1910."
70101,7617,The Immoralist,0142180025,9780142180020,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309376827l/70101._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309376827l/70101._SY75_.jpg,2001,9,1,eng,Penguin Classics,false,480721,114,22917,33079,9237,645,5:1743|4:3302|3:2997|2:970|1:225|total:9237,1902,,,3.58,6458,338,"['7617', '46465', '134769']","['André Gide', 'Alan Sheridan', 'David Watson']","['3.69', '3.90', '3.88']",[],[],[],"In <b>
  <b>The Immoralist</b>
</b>, André Gide presents the confessional account of a man seeking the truth of his own nature. The story's protagonist, Michel, knows nothing about love when he marries the gentle Marceline out of duty to his father. On the couple's honeymoon to Tunisia, Michel becomes very ill, and during his recovery he meets a young Arab boy whose radiant health and beauty captivate him. An awakening for him both sexually and morally, Michel discovers a new freedom in seeking to live according to his own desires. But, as he also discovers, freedom can be a burden. A frank defense of homosexuality and a challenge to prevailing ethical concepts, <b>The Immoralist</b> is a literary landmark, marked by Gide's masterful, pure, simple style.<br /><br />For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators."
