id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
28008683,84259,Kwiaty zła,8308025315,9788308025315,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448809512l/28008683._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448809512l/28008683._SX50_.jpg,1994,,,pol,Wydawnictwo Literackie,false,2089235,1001,106998,198358,46573,1319,5:23285|4:14792|3:6398|2:1473|1:625|total:46573,1857,6,25,4.26,4,0,['13847'],['Charles Baudelaire'],['4.21'],"['3248883', '14717849', '14717850', '14717851', '1934339', '1380465', '2930254', '14717852', '8444436', '6519686', '4539134', '4465390', '5287494', '1058344', '84259', '3282325', '2917159', '14717853', '14717854', '7017000', '8190846', '3044340', '14717855', '6669', '4633607', '2894496', '14717856', '14717857', '14717858', '14717859', '15092733']","['Zbigniew Bieńkowski', 'Jerzy Brzozowski', 'Stanisław Korab-Brzozowski', 'Bolesław Wieniawa-Długoszowski', 'Wiktor Gomulicki', 'Mieczysław Jastrun', 'Ireneusz Kania', 'Roman Kołoniecki', 'Feliks Konopka', 'Czesław Jastrzębiec-Kozłowski', 'Antoni Lange', 'Maria Leśniewska', 'Jerzy Litwiniuk', 'Tadeusz Lubelski', 'Czesław Miłosz', 'Artur Międzyrzecki', 'Zenon Przesmycki', 'Zofia Trzeszczkowska', 'Jan Opęchowski', 'Bronisława Ostrowska', 'Marian Piechal', 'Seweryn Pollak', 'Włodzmierz Słobodnik', 'Wisława Szymborska', 'Józef Waczków', 'Adam Ważyk', 'Ewa Wende', 'Bohdan Wydżga', 'Marianna Zajączkowska-Abrahamowicz', 'Kazimiera Zawistowska', 'Andrzej   Nowak']","['4.00', '4.20', '4.25', '4.00', '3.03', '4.36', '3.98', '4.07', '3.92', '4.35', '3.23', '3.81', '3.57', '4.02', '4.19', '3.98', '3.83', '3.78', '4.25', '3.97', '4.40', '3.88', '4.25', '4.32', '4.06', '4.00', '4.25', '4.25', '4.25', '3.76', '3.50']","Przekłady wielu współczesnych i dawnych tłumaczy Baudelaire'a, zebrane w tym tomie, składają się na pierwszą po II wojnie światowej kompletną polską edycję ""Kwiatów zła"".<br /><br />Tylko parę zbiorów wierszy zdobyło większą sławę w dziejach światowej liryki: ""Pieśni"" Horacego, ""Sonety do Laury"" Petrarki... Legenda Baudelaire'a ogniskuje w sobie, jak napisał Eliot w 1930 roku, ""najmocniej oddziałujący archetyp poety współczesnej epoki"", na równi z legendą Rimbauda.<br /><br />""Kwiaty zła"" były jednocześnie spóźnioną kulminacją francuskiego romantyzmu i progiem współczesnej wrażliwości poetyckiej. W najszerszym odbiorze aż do końca ubiegłego wieku słynne były jednak z powodów ubocznych: towarzyszyła im aura skandalu, pamiętano o procesie sądowym, okaleczającym dzieło na długie lata.<br /><br />Dzisiaj o sile oddziaływania tej poezji nie przesądzają już jej bluźniercze akcenty i czarny erotyzm. Baudelaire wcześnie przeczuł naszą epokę: czyż jego poczucie grzechu pierworodnego, świadomość zawieszenia w bezmiarze ułomnego świata nie ma w istocie tych samych korzeni co ""poczucie tragiczności życia"" Unamuna, ""la nausée"" Sartre'a, ""życie w niewygodzie"" Camusa?"
25485103,84259,Ziemia jałowa. The Waste Land,8308034993,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430838277l/25485103._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430838277l/25485103._SX50_.jpg,2004,,,pol,Wydawnictwo Literackie,false,389834,394,88100,167678,40827,1074,5:18211|4:12733|3:6893|2:2022|1:968|total:40827,1922,,,4.11,3,0,['18540'],['T.S. Eliot'],['4.16'],['84259'],['Czesław Miłosz'],['4.19'],"Przypomnienie jednego z najważniejszych utworów poetyckich XX wieku – poematu angielskiego noblisty. W Jałowej ziemi (1922), będącej świadectwem cywilizacyjnego kryzysu, jaki dotknął intelektualną świadomość Europy po pierwszej wojnie światowej, poeta tworzy mozaikę kulturową, aby ocalić dawne inspiracje. Stan wewnętrznej pustki odmienić można tylko, zdaniem Eliota (1888-1965), sięgając do bogatych tradycji. Spowiedź poety to rachunek sumienia jednostki, podjęty w imię uniwersalizmu."
32858632,84259,Pan Tadeusz ou La dernière expédition judiciaire en Lituanie. Scènes de la vie nobiliaire des années 1811 et 1812 en douze chants,2882500394,9782882500397,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1478096992l/32858632.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1478096992l/32858632._SY75_.jpg,1992,2,18,fre,Les Editions Noir sur Blanc,false,866799,38,10196,22873,6831,89,5:1364|4:1839|3:1974|2:1121|1:533|total:6831,1834,,,3.35,2,1,"['209272', '84259']","['Adam Mickiewicz', 'Czesław Miłosz']","['3.30', '4.19']",['4418800'],['Robert Bourgeois'],['3.25'],"Publié à Paris en 1834, <i>Pan Tadeusz</i> est l’évocation de la patrie perdue, rayée de la carte, écrasée sous la botte et le knout du tsar.<br /><br />En peignant sur le vif la société polonaise et en particulier la noblesse avec l’évolution de ses traditions et usages immémoriaux, Mickiewicz créait une des épopées les plus remarquables de la littérature mondiale. Mais le poème dépasse ce cadre, il ne nous laisse pas sur la vision figée d’un monde finissant. Grâce à Napoléon, un immense espoir secoue la Lituanie et la Pologne opprimées. Le monde en train d’éclore peut être envisagé avec optimisme.<br /><br />L’épopée, la diatribe politique, l’idylle sont étroitement entremêlées. Les descriptions de la nature atteignent les sommets de la poésie bucolique. Un humour discret nuance l’amertume, la satire, ce que les sentiments pourraient avoir de grandiloquent. Tout ceci donne à <i>Pan Tadeusz</i>, livre qui a nourri des générations de Polonais, une aura indéfinissable et un caractère d’universalité qui en font un véritable chef-d’œuvre.<br /><br />« Parler de Mickiewicz, c’est parler du beau, du juste et du vrai, c’est parler du droit dont il fut le soldat, du devoir dont il fut le héros, de la liberté dont il fut l’apôtre et de la délivrance dont il fut le précurseur. [...] Banni, proscrit, vaincu, il a superbement jeté aux quatre vents l’altière revendication de la patrie. La diane des peuples, c’est le génie qui la sonne ; autrefois, c’était le prophète, aujourd’hui, c’est le poète ; et Mickiewicz est un des clairons de l’avenir. » (Victor Hugo)"
145660,84259,The Captive Mind,0679728562,9780679728566,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367072608l/145660._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367072608l/145660._SY75_.jpg,1990,8,11,,Vintage,false,899117,57,10450,11042,2590,219,5:1212|4:952|3:345|2:58|1:23|total:2590,1953,,,4.26,2070,162,['84259'],['Czesław Miłosz'],['4.19'],['3048266'],['Jane Zielonko'],['4.27'],"The Captive Mind begins with a discussion of the novel Insatiability by Stanisław Ignacy Witkiewicz and its plot device of Murti-Bing pills, which are used as a metaphor for dialectical materialism, but also for the deadening of the intellect caused by consumerism in Western society. The second chapter considers the way in which the West was seen at the time by residents of Central and Eastern Europe, while the third outlines the practice of Ketman, the act of paying lip service to authority while concealing personal opposition, describing seven forms applied in the people's democracies of mid-20th century Europe.<br /><br />The four chapters at the heart of the book then follow, each a portrayal of a gifted Polish man who capitulated, in some fashion, to the demands of the Communist state. They are identified only as Alpha, the Moralist; Beta, The Disappointed Lover; Gamma, the Slave of History; and Delta, the Troubadour. However, each of the four portraits were easily identifiable: Alpha is Jerzy Andrzejewski, Beta is Tadeusz Borowski, Gamma is Jerzy Putrament and Delta is Konstanty Ildefons Gałczyński.<br /><br />The book moves toward its climax with an elaboration of ""enslavement through consciousness"" in the penultimate chapter and closes with a pained and personal assessment of the fate of the Baltic nations in particular."
145666,84259,A Book of Luminous Things: An International Anthology of Poetry,0156005743,9780156005746,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,4,1,,Mariner Books,false,140564,8,6487,10013,2388,158,5:1117|4:750|3:409|2:89|1:23|total:2388,2009,3,1,4.19,2344,154,['84259'],['Czesław Miłosz'],['4.19'],[],[],[],"<b>""A collection of 300 poems from writers around the world, selected and edited by Nobel laureate Czeslaw Milosz</b> Czesław Miłosz's <i>A Book of Luminous Things</i>—his personal selection of poems from the past and present—is a testament to the stunning varieties of human experience, offered up so that we may see the myriad ways that experience can be shared in words and images. Miłosz provides a preface to each of these poems, divided into thematic (and often beguiling) sections, such as “Travel,” “History,” and “The Secret of a Thing,” that make the reading as instructional as it is inspirational and remind us how powerfully poetry can touch our minds and hearts. ""<br />"
145659,84259,New and Collected Poems: 1931-2001,0060514485,9780060514488,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525723220l/145659._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525723220l/145659._SY75_.jpg,2017,4,4,,Ecco,false,1537436,4,4208,8467,1948,47,5:1043|4:623|3:218|2:42|1:22|total:1948,2001,1,1,4.35,1902,40,['84259'],['Czesław Miłosz'],['4.19'],[],[],[],"<em>New and Collected Poems: 1931—2001</em> celebrates seven decades of Czeslaw Milosz’s exceptional career. Widely regarded as one of the greatest poets of our time, Milosz is a master of probing inquiry and graceful expression. His poetry is infused with a tireless spirit and penetrating insight into fundamental human dilemmas and the staggering yet simple truth that “to exist on the earth is beyond any power to name.”<br /><br />Czeslaw Milosz worked with the Polish Resistance movement in Warsaw during World War II and defected to France in 1951. His work brings to bear the political awareness of an exile—most notably in <em>A Treatise on Poetry,</em> a forty-page exploration of the world wars that rocked the first half of the twentieth century. His later poems also reflect the sharp political focus through which this Nobel Laureate never fails to bear witness to the events that stir the world.<br /><br />Digging among the rubble of the past, Milosz forges a vision that encompasses pain as well as joy. His work, wrote Edward Hirsch in the <em>New York Times Book Review,</em> is “one of the monumental splendors of poetry in our age.” With more than fifty poems from the end of Milosz’s career, this is an essential collection from one of the most important voices in contemporary poetry."
87047,84259,"The Collected Poems, 1956-1998",0060783907,9780060783907,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,2,6,,Ecco,false,84020,15,2887,4098,927,57,5:547|4:267|3:81|2:20|1:12|total:927,2000,1,1,4.42,762,39,"['49926', '2281659']","['Zbigniew Herbert', 'Alissa Valles']","['4.35', '4.36']","['84259', '52454']","['Czesław Miłosz', 'Peter Dale Scott']","['4.19', '4.24']","This outstanding new translation brings a uniformity of voice to Zbigniew Herbert's entire poetic output, from his first book of poems, <em>String of Light</em>, in 1956, to his final volume, previously unpublished in English, <em>Epilogue Of the Storm</em>. <em>Collected Poems: 1956-1998</em>, as Joseph Brodsky said of Herbert's <em>SSelected Poems</em>, is ""bound for a much longer haul than any of us can anticipate."" He continues, ""For Zbigniew Herbert's poetry adds to the biography of civilization the sensibility of a man not defeated by the century that has been most thorough, most effective in dehumanization of the species. Herbert's irony, his austere reserve and his compassion, the lucidity of his lyricism, the intensity of his sentiment toward classical antiquity, are not just trappings of a modern poet, but the necessary armor—in his case well-tempered and shining indeed—for man not to be crushed by the onslaught of reality. By offering to his readers neither aesthetic nor ethical discount, this poet, in fact, saves them frorn that poverty which every form of human evil finds so congenial. As long as the species exists, this book will be timely."""
162343,84259,The Rag and Bone Shop of the Heart: A Poetry Anthology,0060924209,9780060924201,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1993,8,4,,Harper Perennial,false,156693,2,1905,3788,872,62,5:455|4:292|3:103|2:14|1:8|total:872,1992,,,4.34,856,58,"['5424911', '18521', '93194', '6998776', '7921', '10264', '7715', '7440', '84259', '36910', '7531', '7906']","['Robert Bly', 'James Hillman', 'Michael Meade', 'Marianna Moore', 'Thomas Wolfe', 'Henry David Thoreau', 'Robert Frost', 'Emily Dickinson', 'Czesław Miłosz', 'Langston Hughes', 'Theodore Roethke', 'Rainer Maria Rilke']","['4.04', '4.17', '4.33', '4.34', '3.96', '3.86', '4.25', '4.20', '4.19', '4.26', '4.14', '4.29']",[],[],[],"Robert Bly, James Hillman, and Michael Meade challenge the assumptions of our poetry-deprived society in this powerful collection of more than 400 deeply moving poems from renowned artists including Robert Frost, Emily Dickinson, Langston Hughes, Theodore Roethke, Rainer Maria Rilke, Marianne Moore, Thomas Wolfe, Czeslaw Milosz, and Henry David Thoreau."
145667,84259,The Issa Valley,0374516952,9780374516956,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312014075l/145667._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312014075l/145667._SY75_.jpg,2000,5,22,,"Farrar, Straus and Giroux",false,1077009,39,2395,3386,875,53,5:266|4:334|3:193|2:59|1:23|total:875,1955,,,3.87,495,32,['84259'],['Czesław Miłosz'],['4.19'],['3862002'],['Louis Iribarne'],['4.04'],"Thomas, the child-protagonist of <i>The Issa Valley</i>, is subject to both the contradictions of nature in this severe northern setting and sometimes enchanting, sometimes brutal timbre of village life. There are the deep pine and spruce forests, the grouse and the deer, and the hunter's gun. There is Magdalena, the beautiful mistress of the village priest, whose suicide unleashes her ghost to haunt the parish. There are also the loving grandparents with whom Thomas lives, who provide a balance of the not-quite-Dostoevskian devils that visit the villagers. In the end, Thomas is severed from his childhood and the Issa River, and leaves prepared for adventures beyond his valley. Poetic and richly imagined, <i>The Issa Valley</i> is a masterful work of fiction from one of our greatest living poets."
145661,84259,Selected Poems: 1931-2004,0060188677,9780060188672,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,4,4,,Ecco,false,140559,18,1477,2455,570,41,5:287|4:189|3:78|2:14|1:2|total:570,1973,12,1,4.31,331,16,"['84259', '29574']","['Czesław Miłosz', 'Seamus Heaney']","['4.19', '4.11']",[],[],[],"Selected Poems: 1931-2004 celebrates Czeslaw Milosz's lifetime of poetry. Widely regarded as one of the greatest poets of our time, Milosz is a master of expression and probing inquiry. Life opened for Czeslaw Milosz at a crossroads of civilizations in northeastern Europe. This was less a melting pot than a torrent of languages and ideas, where old folk traditions met Catholic, Protestant, Judaic, and Orthodox rites. What unfolded next around him was a century of catastrophe and madness: two world wars, revolutions, invasions, and the murder of tens of millions, all set to a cacophony of hymns, gunfire, national anthems, and dazzling lies. In the thick of this upheaval, wide awake and in awe of living, dodging shrapnel, imprisonment, and despair, Milosz tried to understand both history and the moment, with humble respect for the suffering of each individual. He read voraciously in many languages and wrote masterful poetry that, even in translation, is infused with a tireless spirit and a penetrating insight into fundamental human dilemmas and the staggering yet simple truth that ""to exist on the earth is beyond any power to name."" Unflinching, outspoken, timeless, and unsentimental, Milosz digs through the rubble of the past, forging a vision -- and a warning -- that encompasses both pain and joy. ""His intellectual life,"" writes Seamus Heaney, ""could be viewed as a long single combat with shape-shifting untruth."""
10208,84259,Miracle Fair: Selected Poems,0393323854,9780393323856,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362957171l/10208._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362957171l/10208._SX50_.jpg,2002,11,17,eng,W. W. Norton  Company,false,949474,4,1531,2367,534,50,5:316|4:152|3:52|2:9|1:5|total:534,2001,5,1,4.43,488,47,"['6669', '84259']","['Wisława Szymborska', 'Czesław Miłosz']","['4.32', '4.19']",['3854368'],['Joanna Trzeciak'],['4.43'],"Winner of the Heldt Prize for Translation. A new translation of the Nobel Prize-winning Polish poet, with an introduction by Czeslaw Milosz. This long-awaited volume samples the full range of Wislawa Szymborska's major themes: the ironies of love, the wonders of nature's beauty, and the illusory character of art. Szymborska's voice emerges as that of a gentle subversive, self-deprecating in its wit, yet graced with a gift for coaxing the extraordinary out of the ordinary."
